51.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
18:05:53.2 (2116855)|USER_INFO|[EXTERNAL]|0051X000007SSFe|test-in7nqa4fsmgt@example.com|(GMT+02:00) Central European Summer Time (Europe/Paris)|GMT+02:00
18:05:53.2 (2194847)|EXECUTION_STARTED
18:05:53.2 (2206343)|CODE_UNIT_STARTED|[EXTERNAL]|01p1X000005rXLM|TestUpdateAccountTurnover.should_aggregate_two_orders_on_account()
18:05:53.2 (2582932)|HEAP_ALLOCATE|[79]|Bytes:3
18:05:53.2 (2648575)|HEAP_ALLOCATE|[84]|Bytes:152
18:05:53.2 (2669146)|HEAP_ALLOCATE|[399]|Bytes:408
18:05:53.2 (2689748)|HEAP_ALLOCATE|[412]|Bytes:408
18:05:53.2 (2708335)|HEAP_ALLOCATE|[520]|Bytes:48
18:05:53.2 (2744625)|HEAP_ALLOCATE|[139]|Bytes:6
18:05:53.2 (2762700)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:157
18:05:53.2 (2796910)|METHOD_ENTRY|[2]|01p1X000005rXLM|TestUpdateAccountTurnover.TestUpdateAccountTurnover()
18:05:53.2 (2811518)|STATEMENT_EXECUTE|[2]
18:05:53.2 (2834745)|STATEMENT_EXECUTE|[2]
18:05:53.2 (2841702)|METHOD_EXIT|[2]|TestUpdateAccountTurnover
18:05:53.2 (2884852)|HEAP_ALLOCATE|[52]|Bytes:5
18:05:53.2 (2919338)|HEAP_ALLOCATE|[58]|Bytes:5
18:05:53.2 (2930529)|HEAP_ALLOCATE|[66]|Bytes:7
18:05:53.2 (2979692)|STATEMENT_EXECUTE|[4]
18:05:53.2 (2983900)|STATEMENT_EXECUTE|[5]
18:05:53.2 (3055536)|HEAP_ALLOCATE|[5]|Bytes:4
18:05:53.2 (3155186)|HEAP_ALLOCATE|[5]|Bytes:14
18:05:53.2 (3336206)|VARIABLE_ASSIGNMENT|[5]|this.Name|"Test Account 1"|0x622d795d
18:05:53.2 (3389180)|HEAP_ALLOCATE|[5]|Bytes:28
18:05:53.2 (3396161)|HEAP_ALLOCATE|[5]|Bytes:28
18:05:53.2 (3447509)|VARIABLE_ASSIGNMENT|[5]|this.Chiffre_d_affaire__c|0|0x622d795d
18:05:53.2 (3488081)|VARIABLE_SCOPE_BEGIN|[5]|acc1|Account|true|false
18:05:53.2 (3525307)|VARIABLE_ASSIGNMENT|[5]|acc1|{"Name":"Test Account 1","Chiffre_d_affaire__c":0}|0x622d795d
18:05:53.2 (3536930)|STATEMENT_EXECUTE|[6]
18:05:53.2 (3580092)|HEAP_ALLOCATE|[6]|Bytes:8
18:05:53.2 (3597169)|DML_BEGIN|[6]|Op:Insert|Type:Account|Rows:1
18:05:53.2 (3647372)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:05:53.2 (27996616)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
18:05:53.2 (28078098)|DUPLICATE_DETECTION_BEGIN
18:05:53.2 (31164759)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bm1X000002PzvU|DuplicateRuleName:Standard Account Duplicate Rule|DmlType:INSERT
18:05:53.2 (65568317)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Account|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
18:05:53.2 (65600524)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Account|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
18:05:53.2 (65775284)|DUPLICATE_DETECTION_END
18:05:53.2 (65786809)|CODE_UNIT_FINISHED|DuplicateDetector
18:05:53.2 (102594119)|DML_END|[6]
18:05:53.2 (102639367)|STATEMENT_EXECUTE|[8]
18:05:53.2 (102675006)|HEAP_ALLOCATE|[8]|Bytes:4
18:05:53.2 (102784213)|VARIABLE_ASSIGNMENT|[8]|this.Name|"Test Account 1"|0x43685d95
18:05:53.2 (102835667)|VARIABLE_SCOPE_BEGIN|[8]|acc2|Account|true|false
18:05:53.2 (102870204)|VARIABLE_ASSIGNMENT|[8]|acc2|{"Name":"Test Account 1"}|0x43685d95
18:05:53.2 (102881342)|STATEMENT_EXECUTE|[9]
18:05:53.2 (102919330)|HEAP_ALLOCATE|[9]|Bytes:8
18:05:53.2 (102930460)|DML_BEGIN|[9]|Op:Insert|Type:Account|Rows:1
18:05:53.2 (102984400)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:05:53.2 (105247718)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
18:05:53.2 (105279100)|DUPLICATE_DETECTION_BEGIN
18:05:53.2 (105334716)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bm1X000002PzvU|DuplicateRuleName:Standard Account Duplicate Rule|DmlType:INSERT
18:05:53.2 (118799111)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Account|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
18:05:53.2 (118832853)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Account|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
18:05:53.2 (121264352)|DUPLICATE_DETECTION_END
18:05:53.2 (121281751)|CODE_UNIT_FINISHED|DuplicateDetector
18:05:53.2 (138324859)|DML_END|[9]
18:05:53.2 (138368294)|STATEMENT_EXECUTE|[11]
18:05:53.2 (138466459)|HEAP_ALLOCATE|[11]|Bytes:4
18:05:53.2 (138591048)|HEAP_ALLOCATE|[11]|Bytes:24
18:05:53.2 (138685269)|VARIABLE_ASSIGNMENT|[11]|this.Name|"Chemise Verte longue (4 more) ..."|0x7e149e30
18:05:53.2 (138697119)|HEAP_ALLOCATE|[11]|Bytes:7
18:05:53.2 (138723872)|VARIABLE_ASSIGNMENT|[11]|this.Family|"Chemise"|0x7e149e30
18:05:53.2 (138767533)|VARIABLE_SCOPE_BEGIN|[11]|pd1|Product2|true|false
18:05:53.2 (138808549)|VARIABLE_ASSIGNMENT|[11]|pd1|{"Name":"Chemise Verte longue (4 more) ...","Family":"Chemise"}|0x7e149e30
18:05:53.2 (138821360)|STATEMENT_EXECUTE|[12]
18:05:53.2 (138859068)|HEAP_ALLOCATE|[12]|Bytes:8
18:05:53.2 (138871135)|DML_BEGIN|[12]|Op:Insert|Type:Product2|Rows:1
18:05:53.2 (138921833)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:05:53.2 (172198730)|DML_END|[12]
18:05:53.2 (172240899)|STATEMENT_EXECUTE|[15]
18:05:53.2 (172331199)|HEAP_ALLOCATE|[15]|Bytes:4
18:05:53.2 (172465079)|HEAP_ALLOCATE|[15]|Bytes:10
18:05:53.2 (172552972)|VARIABLE_ASSIGNMENT|[15]|this.Name|"Test PB001"|0x7b4241e0
18:05:53.2 (172565401)|HEAP_ALLOCATE|[15]|Bytes:15
18:05:53.2 (172595509)|VARIABLE_ASSIGNMENT|[15]|this.Description|"Test PB001 Desc"|0x7b4241e0
18:05:53.2 (172624881)|VARIABLE_ASSIGNMENT|[15]|this.IsActive|true|0x7b4241e0
18:05:53.2 (172668470)|VARIABLE_SCOPE_BEGIN|[15]|pb|Pricebook2|true|false
18:05:53.2 (172709947)|VARIABLE_ASSIGNMENT|[15]|pb|{"Name":"Test PB001","Description":"Test PB001 Desc","IsActive":true}|0x7b4241e0
18:05:53.2 (172722328)|STATEMENT_EXECUTE|[16]
18:05:53.2 (172761725)|HEAP_ALLOCATE|[16]|Bytes:8
18:05:53.2 (172773059)|DML_BEGIN|[16]|Op:Insert|Type:Pricebook2|Rows:1
18:05:53.2 (172823206)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
18:05:53.2 (247921545)|DML_END|[16]
18:05:53.2 (247962150)|STATEMENT_EXECUTE|[19]
18:05:53.2 (247973557)|HEAP_ALLOCATE|[19]|Bytes:49
18:05:53.2 (248009150)|HEAP_ALLOCATE|[19]|Bytes:4
18:05:53.2 (248440358)|SOQL_EXECUTE_BEGIN|[19]|Aggregations:0|SELECT Id FROM Pricebook2 WHERE isStandard = TRUE
18:05:53.2 (254501605)|SOQL_EXECUTE_END|[19]|Rows:1
18:05:53.2 (254551134)|HEAP_ALLOCATE|[19]|Bytes:8
18:05:53.2 (254594326)|HEAP_ALLOCATE|[19]|Bytes:29
18:05:53.2 (261615797)|HEAP_ALLOCATE|[19]|Bytes:8
18:05:53.2 (261675776)|HEAP_ALLOCATE|[19]|Bytes:36
18:05:53.2 (261801753)|HEAP_ALLOCATE|[19]|Bytes:8
18:05:53.2 (261823484)|VARIABLE_SCOPE_BEGIN|[19]|standardPB|Pricebook2|true|false
18:05:53.2 (261887235)|VARIABLE_ASSIGNMENT|[19]|standardPB|{"Id":"01s1X000002dEQuQAM"}|0x369bc36f
18:05:53.2 (261906543)|STATEMENT_EXECUTE|[20]
18:05:53.2 (261914205)|HEAP_ALLOCATE|[20]|Bytes:20
18:05:53.2 (262132329)|HEAP_ALLOCATE|[20]|Bytes:18
18:05:53.2 (262163165)|HEAP_ALLOCATE|[20]|Bytes:38
18:05:53.2 (262197255)|USER_DEBUG|[20]|DEBUG|Value of standardPB>01s1X000002dEQuQAM
18:05:53.2 (262211055)|STATEMENT_EXECUTE|[22]
18:05:53.2 (262312510)|HEAP_ALLOCATE|[22]|Bytes:4
18:05:53.2 (262508337)|VARIABLE_ASSIGNMENT|[22]|this.Pricebook2Id|"01s1X000002dEQuQAM"|0x1ab97258
18:05:53.2 (262565632)|VARIABLE_ASSIGNMENT|[22]|this.Product2Id|"01t1X000006rqWQQAY"|0x1ab97258
18:05:53.2 (262593021)|HEAP_ALLOCATE|[22]|Bytes:28
18:05:53.2 (262622050)|VARIABLE_ASSIGNMENT|[22]|this.UnitPrice|1000|0x1ab97258
18:05:53.2 (262644538)|VARIABLE_ASSIGNMENT|[22]|this.IsActive|true|0x1ab97258
18:05:53.2 (262682617)|VARIABLE_SCOPE_BEGIN|[22]|standardPBE|PricebookEntry|true|false
